# m      px      py      pz      vx      vy       vz
4.084031839363881033e+00 -2.595510254528324179e+00 -2.926747380357679162e+01 0.000000000000000000e+00 7.461354285393188235e+00 -6.616909163523422288e-01 0.000000000000000000e+00
5.301463164197159905e+00 4.071865695792919126e+01 4.533392271919369421e+01 0.000000000000000000e+00 -3.825829366518032071e+00 3.436336946170848172e+00 0.000000000000000000e+00
1.640005666638943094e+00 -7.443546196514593305e+01 -1.720973078147046209e+01 0.000000000000000000e+00 1.088350217907820605e+00 -4.707328213237393477e+00 0.000000000000000000e+00
3.138682141996784303e+00 7.203468130655617863e+00 3.998668196827948407e+01 0.000000000000000000e+00 -6.394104865982747299e+00 1.151876783943086568e+00 0.000000000000000000e+00
5.728284779162208906e+00 -1.578919711179285379e+01 -4.777214982629773488e+01 0.000000000000000000e+00 5.353603703186910145e+00 -1.769422235243650388e+00 0.000000000000000000e+00
4.989926439234737110e+00 1.552357546572529001e+00 1.106158712694770330e+01 0.000000000000000000e+00 -1.209995880235793031e+01 1.698080225241609842e+00 0.000000000000000000e+00
4.708740461349762541e+00 4.491147852344913360e+01 -6.799843590726661446e+00 0.000000000000000000e+00 8.908473657238991095e-01 5.883851856231383515e+00 0.000000000000000000e+00
5.783548515927449785e+00 -8.787811900893926165e+00 -2.249495893496533228e+01 0.000000000000000000e+00 7.572968438471098906e+00 -2.958432703126558927e+00 0.000000000000000000e+00
5.477266843537897500e+00 4.706517079209496579e+00 1.107934339811892066e+01 0.000000000000000000e+00 -1.064298859780628703e+01 4.521153087276980287e+00 0.000000000000000000e+00
5.483583183363901270e+00 -7.854660727885829807e+00 3.495875132494608017e+00 0.000000000000000000e+00 -5.931101089672159432e+00 -1.332621590775327469e+01 0.000000000000000000e+00
